Buyer Id,CropID,FarmerID,Qty Required,Affordable Price,Status,Time
1,Sorghum,1,1000kg,21,accepted,2022-10-05 12:05:00
2,Barley,90,560kg,110,accepted,2022-10-05 12:08:00
3,Quiona,126,520kg,95,accepted,2022-10-05 12:11:00
4,Oats,33,1020kg,130,accepted,2022-10-05 12:14:00
5,Millet,4,560kg,89,accepted,2022-10-05 12:17:00
6,Maize,45,630kg,25,accepted,2022-10-05 12:20:00
7,Sorghum,1,445kg,92,accepted,2022-10-05 12:23:00
8,Millet,11,1146kg,131,accepted,2022-10-05 12:26:00
9,Oats,123,920kg,131,accepted,2022-10-05 12:29:00
10,Corn,25,400kg,95,accepted,2022-10-05 12:32:00
11,Jowar,3,400kg,92,accepted,2022-10-05 12:35:00
12,Maize,55,350kg,22,accepted,2022-12-05 12:05:00
13,Millet,,440kg,23,available,2022-12-05 12:08:00
14,Maize,67,600kg,20,accepted,2022-12-05 12:11:00
15,Barley,99,330kg,131,accepted,2022-12-05 12:14:00
16,Sorghum,1,330kg,92,accepted,2022-12-05 12:17:00
17,Millet,88,400kg,99,accepted,2022-12-05 12:20:00
18,Corn,56,300kg,140,accepted,2022-12-05 12:23:00
19,Beet,56,250kg,138,accepted,2022-12-05 12:26:00
20,Turnips,76,500kg,92,accepted,2022-12-05 12:29:00
21,Potato,3,600kg,71,accepted,2022-12-05 12:32:00
22,Ginger,35,250kg,72,accepted,2022-12-05 12:35:00
23,Turmeric,4,350kg,22,accepted,2022-12-05 12:38:00
24,Turmeric,36,310kg,96,accepted,2022-12-05 12:41:00
25,Masoor daal,56,240kg,72,accepted,2022-12-05 12:44:00
26,Bitter gourd,6,260kg,19,accepted,2022-12-05 12:47:00
27,Dried fig,2,400kg,90,accepted,2022-12-05 12:50:00
28,Safed chana,35,420kg,97,accepted,2022-12-05 12:53:00
29,Sugar Palm,3,410kg,23,accepted,2022-12-05 12:56:00
30,Cabbage,23,210kg,24,accepted,2022-12-05 12:59:00
31,Dried fig,76,200kg,40,accepted,2023-01-23 10:05:00
32,Lemon,8,200kg,61,accepted,2023-01-23 10:08:00
33,Hemp,63,210kg,55,accepted,2023-01-23 10:11:00
34,Mango,88,100kg,53,accepted,2023-01-23 10:14:00
35,Sugar beet,,110kg,41,available,2023-01-23 10:17:00
36,Coconut,,190kg,35,available,2023-01-23 10:20:00
37,Moth daal,54,180kg,65,accepted,2023-01-23 10:23:00
38,Aspargus,10,200kg,50,accepted,2023-01-23 10:26:00
39,Almond,99,180kg,60,accepted,2023-01-23 10:29:00
40,Bhatt daal,78,160kg,41,accepted,2023-01-23 10:32:00
41,Safed Matar,,100kg,22,available,2023-01-23 10:35:00
42,Sugarcane,32,300kg,60,accepted,2023-01-23 10:38:00
43,Mung daal,,310kg,29,available,2023-01-23 10:41:00
44,Blue berry,20,300kg,65,accepted,2023-01-23 10:44:00
45,Sweet Sorghum,77,250kg,32,accepted,2023-01-23 10:47:00
46,Urad daal,90,50kg,16,accepted,2023-01-23 10:50:00
47,Barley,54,80kg,66,accepted,2023-01-23 10:53:00
48,Millet,31,60kg,66,accepted,2023-01-23 10:56:00
49,Cucumber,,65kg,150,cancelled,2023-01-23 10:59:00
50,Coriander,93,45kg,90,accepted,2022-11-13 12:35:00
